City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,sinabang,2.4803,96.3801,27.06,79,100,0.85,ID,1691180791
119,nyurba,63.2842,118.3319,14.42,66,100,2.41,RU,1691180792
120,vuktyl,63.8567,57.3094,18.39,86,66,2.11,RU,1691180792
121,carutapera,-1.195,-46.02,27.45,76,51,3.72,BR,1691180792
122,rio grande,-32.035,-52.0986,19.06,80,54,1.9,BR,1691180752
123,st. john's,47.5649,-52.7093,22.1,75,20,4.12,CA,1691180638
124,san luis de la loma,17.2706,-100.8939,25.06,91,100,4.05,MX,1691180793
125,toliara,-23.35,43.6667,21.82,61,39,3.49,MG,1691180725
126,codrington,-38.2667,141.9667,10.19,72,100,5.91,AU,1691180793
127,balabac,7.9868,117.0645,27.31,81,5,1.98,PH,1691180794
128,calca,-13.3333,-71.95,17.64,53,89,3.7,PE,1691180794
129,dinguiraye,11.3,-10.7167,24.04,85,35,1.46,GN,1691180794
130,howrah,22.5892,88.3103,29.0,94,75,3.6,IN,1691180753
131,ust-nera,64.5667,143.2,13.94,54,63,1.87,RU,1691180795
132,nadym,65.5333,72.5167,18.21,45,5,4.92,RU,1691180795
133,utrik,11.2278,169.8474,28.34,73,98,7.66,MH,1691180759
134,semporna,4.4818,118.6112,26.44,85,16,0.62,MY,1691180795
135,elumalai,9.8667,77.7,26.9,63,78,2.59,IN,1691180795
136,ingeniero jacobacci,-41.3427,-69.5448,8.52,37,0,1.62,AR,1691180796
137,shetpe,44.1667,52.1167,31.27,25,100,9.49,KZ,1691180796
138,chonchi,-42.6128,-73.8092,9.56,81,92,0.81,CL,1691180796
139,opuwo,-18.0607,13.84,18.09,28,1,2.73,NA,1691180796
140,tralee,52.2704,-9.7026,12.09,95,100,4.81,IE,1691180750
141,qalat,32.1058,66.9083,28.2,12,0,3.13,AF,1691180797
142,holbrook,40.8123,-73.0784,25.35,80,100,7.2,US,1691180797
143,port saint john's,-31.6229,29.5448,19.43,43,85,2.43,ZA,1691180797
144,namibe,-15.1961,12.1522,17.22,81,5,2.45,AO,1691180798
145,laguna,38.421,-121.4238,32.88,42,0,2.06,US,1691180680
146,takoradi,4.8845,-1.7554,23.95,89,38,3.69,GH,1691180798
147,abbeville,50.1,1.8333,17.98,91,48,3.24,FR,1691180798
148,pala,9.3642,14.9046,23.23,90,100,2.07,TD,1691180798
149,an nuhud,12.7,28.4333,25.06,75,100,4.64,SD,1691180799
150,itapaci,-14.9508,-49.5494,31.67,20,100,1.21,BR,1691180799
151,whitehorse,60.7161,-135.0538,22.43,49,20,2.57,CA,1691180736
152,ribeira grande,38.5167,-28.7,23.76,78,40,3.6,PT,1691180761
153,kristiansund,63.1115,7.732,13.03,87,100,2.57,NO,1691180727
154,thunder bay,48.4001,-89.3168,22.99,53,40,4.12,CA,1691180548
155,tatarsk,55.219,75.9828,18.82,84,63,1.77,RU,1691180800
156,puerto ayora,-0.7393,-90.3518,30.98,91,76,3.58,EC,1691180734
157,aasiaat,68.7098,-52.8699,2.74,85,96,1.13,GL,1691180761
158,maloye ganyushkino,46.6,49.2667,29.29,38,4,3.11,KZ,1691180800
159,quirihue,-36.2833,-72.5333,14.8,37,23,2.06,CL,1691180800
160,kidal,18.4411,1.4078,31.26,41,100,1.32,ML,1691180801
161,yichun,47.7,128.9,14.0,98,100,2.9,CN,1691180801
162,tura,25.5198,90.2201,24.08,98,100,2.64,IN,1691180750
163,kirensk,57.7853,108.1119,13.77,96,11,0.8,RU,1691180801
164,musan-up,42.2261,129.2078,22.35,100,100,0.81,KP,1691180802
165,koumra,8.9126,17.5539,22.52,98,100,2.37,TD,1691180802
166,saint-philippe,-21.3585,55.7679,19.77,85,98,8.34,RE,1691180802
167,edson,53.5835,-116.4356,22.08,46,0,1.54,CA,1691180802
168,namtsy,62.7161,129.6658,13.85,70,23,1.16,RU,1691180803
169,mokhsogollokh,61.4681,128.9203,12.8,72,13,0.88,RU,1691180803
170,heide,54.2,9.1,16.73,67,98,3.64,DE,1691180803
171,olonkinbyen,70.9221,-8.7187,3.66,92,100,11.49,SJ,1691180803
172,afaahiti,-17.75,-149.2833,26.93,81,83,6.91,PF,1691180803
173,bonito,-21.1211,-56.4819,32.92,20,0,1.53,BR,1691180745
174,ebon,4.582,168.6964,28.09,77,46,3.78,MH,1691180804
175,phumi veal sre,10.9808,104.7783,25.83,84,70,2.44,KH,1691180804
176,el calafate,-50.3408,-72.2768,1.78,77,7,3.44,AR,1691180804
177,serenje,-13.2325,30.2352,11.27,58,0,2.17,ZM,1691180804
178,pagar alam,-4.0167,103.2667,19.89,98,38,0.72,ID,1691180805
179,midvagur,62.0511,-7.1939,10.46,93,75,1.54,FO,1691180805
180,vorgashor,67.5833,63.95,19.78,68,6,1.89,RU,1691180756
181,mount pearl,47.5166,-52.7813,21.64,75,20,4.12,CA,1691180805
182,bikenibeu village,1.3673,173.1241,27.98,89,100,2.57,KI,1691180806
183,taroa,8.7058,171.2275,28.2,72,67,7.39,MH,1691180806
184,kodiak,57.79,-152.4072,12.73,82,100,1.54,US,1691180742
185,ishikawa,26.4233,127.8214,26.98,100,100,15.2,JP,1691180806
186,osuna,37.2377,-5.1075,29.55,37,0,2.83,ES,1691180806
187,elazig,38.6743,39.2232,26.83,32,0,2.06,TR,1691180807
188,shingu,33.7333,135.9833,26.41,90,83,1.34,JP,1691180807
189,ridgecrest,35.6225,-117.6709,36.68,9,0,2.24,US,1691180589
190,hadibu,12.65,54.0333,26.12,77,100,9.24,YE,1691180745
191,bangassou,4.7413,22.8184,20.56,99,99,1.01,CF,1691180807
192,punta arenas,-53.15,-70.9167,3.34,74,99,8.85,CL,1691180701
193,hilo,19.7297,-155.09,29.6,72,100,3.09,US,1691180724
194,springbok,-29.6643,17.8865,10.13,49,0,0.93,ZA,1691180808
195,peniche,39.3558,-9.3811,20.72,78,0,8.93,PT,1691180808
196,lycksele,64.5954,18.6735,14.93,94,75,0.51,SE,1691180705
197,sitka,57.0531,-135.33,18.94,72,40,2.57,US,1691180809
198,quellon,-43.1167,-73.6167,9.14,87,40,2.06,CL,1691180809
199,puerto yuca,2.9383,-73.2083,30.37,62,59,1.56,CO,1691180809
200,papao,-17.75,-149.55,27.82,79,68,5.97,PF,1691180809
201,ballina,-28.8667,153.5667,13.21,77,72,0.92,AU,1691180743
202,pimentel,-6.8367,-79.9342,25.16,61,100,4.12,PE,1691180810
203,ta`u,-14.2336,-169.5144,26.79,79,48,7.32,AS,1691180756
204,hawaiian paradise park,19.5933,-154.9731,27.73,88,100,3.09,US,1691180743
205,sokoni,-6.4333,39.55,24.52,84,13,7.97,TZ,1691180811
206,nanning,22.8167,108.3167,26.25,95,69,1.38,CN,1691180811
207,berdigestyakh,62.0989,126.6992,13.22,68,56,0.89,RU,1691180811
208,vallenar,-28.5708,-70.7581,24.56,34,5,3.22,CL,1691180812
209,filey,54.21,-0.2892,14.32,88,100,1.67,GB,1691180812
210,klaksvik,62.2266,-6.589,10.51,81,100,3.57,FO,1691180812
211,linxia chengguanzhen,35.6003,103.2064,18.92,71,80,0.92,CN,1691180812
212,arawa,-6.2132,155.5367,24.95,94,86,2.32,PG,1691180812
213,pinsk,52.1229,26.0951,20.66,63,95,1.31,BY,1691180813
214,moramanga,-18.9333,48.2,13.07,91,98,2.48,MG,1691180813
215,ornskoldsvik,63.2909,18.7153,17.53,88,100,3.6,SE,1691180813
216,vilyuchinsk,52.9306,158.4028,14.15,84,6,3.7,RU,1691180813
217,sanford,28.8006,-81.2731,36.27,62,40,3.09,US,1691180813
218,saint-mandrier-sur-mer,43.078,5.929,23.92,44,0,10.29,FR,1691180814
219,akure,7.2526,5.1931,21.96,99,26,1.31,NG,1691180814
220,nizhnesortymskiy,62.4397,71.7603,19.06,57,0,4.15,RU,1691180815
221,susanville,40.4163,-120.653,28.79,29,0,3.6,US,1691180816
222,geraldton,-28.7667,114.6,8.23,81,0,2.57,AU,1691180747
223,san mariano,7.5,126.0,22.37,92,15,1.34,PH,1691180816
224,uturoa,-16.7333,-151.4333,26.01,77,32,5.52,PF,1691180727
225,vilyuysk,63.7553,121.6247,14.66,70,100,2.46,RU,1691180816
226,daru,-9.0763,143.2092,24.06,81,16,5.55,PG,1691180817
227,haiku-pauwela,20.9219,-156.3051,27.36,57,20,9.26,US,1691180749
228,arkhangel'sk,64.5401,40.5433,17.68,98,100,2.35,RU,1691180661
229,wotje,9.4543,170.2367,28.29,73,98,8.09,MH,1691180817
230,sandnessjoen,66.0217,12.6316,13.29,94,75,2.06,NO,1691180818
231,la libertad,-2.2333,-80.9,26.81,74,40,5.66,EC,1691180818
232,awjilah,29.1081,21.2869,32.48,23,0,5.2,LY,1691180818
233,fale old settlement,-9.3852,-171.2468,27.5,78,76,5.47,TK,1691180818
234,nova sintra,14.8667,-24.7167,23.74,84,50,2.33,CV,1691180818
235,vernon,50.2581,-119.2691,32.18,20,0,1.54,CA,1691180713
236,jincheng,35.5022,112.8328,26.35,73,0,0.68,CN,1691180819
237,concepcion del oro,24.6333,-101.4167,27.31,24,97,3.39,MX,1691180819
238,rudbar,30.15,62.6,33.69,10,4,5.36,AF,1691180819
239,newport,51.5877,-2.9984,16.49,77,100,4.47,GB,1691180819
240,puerto deseado,-47.7503,-65.8938,7.03,49,0,5.23,AR,1691180820
241,orland,39.7474,-122.1964,33.58,43,0,0.45,US,1691180820
242,wailua homesteads,22.0669,-159.378,29.44,74,40,6.17,US,1691180725
243,vila velha,-20.3297,-40.2925,22.97,87,0,4.63,BR,1691180747
244,ad dilam,23.9915,47.1627,37.23,9,1,4.64,SA,1691180739
245,bujaru,-1.515,-48.0447,30.51,60,58,1.34,BR,1691180821
246,thief river falls,48.1191,-96.1812,27.53,54,75,4.12,US,1691180821
247,anshun,26.25,105.9333,19.2,94,97,0.34,CN,1691180821
248,aracruz,-19.8203,-40.2733,22.56,75,0,2.43,BR,1691180821
249,cabedelo,-6.9811,-34.8339,26.37,73,20,5.49,BR,1691180821
250,basco,20.4487,121.9702,28.44,87,100,16.03,PH,1691180822
251,anadyr,64.75,177.4833,10.28,93,100,7.0,RU,1691180741
252,tahoua,14.8888,5.2692,35.45,36,35,1.89,NE,1691180822
253,kapuskasing,49.4169,-82.4331,21.0,52,75,3.6,CA,1691180822
254,quelimane,-17.8786,36.8883,19.97,94,75,3.09,MZ,1691180823
255,baikunthpur,23.25,82.55,22.95,96,100,5.05,IN,1691180823
256,mocimboa,-11.3167,40.35,23.21,77,38,4.59,MZ,1691180823
257,jawf al maqbabah,13.8378,45.8349,29.63,56,69,2.49,YE,1691180823
258,nantucket,41.2835,-70.0995,26.11,53,0,4.12,US,1691180690
259,olinda,-8.0089,-34.8553,25.85,69,20,6.17,BR,1691180824
260,masterton,-40.9597,175.6575,9.38,89,78,2.12,NZ,1691180824
261,saint-denis,48.9167,2.3333,18.27,81,75,3.09,FR,1691180824
262,nanao,37.05,136.9667,27.32,84,0,1.38,JP,1691180825
263,saynshand,44.8824,110.1163,21.7,52,6,6.4,MN,1691180825
